treat,ID,week,cercs,pres
0p,P1,4,0,0
0p,P2,4,0,0
0p,P4,4,0,0
0p,P5,4,0,0
0p,P6,4,0,0
0p,P8,4,0,0
0p,P9,4,0,0
0p,P15,4,0,0
0p,P17,4,0,0
0p,P18,4,0,0
0p,P19,4,0,0
0p,P23,4,0,0
0p,P25,4,21,1
0p,P26,4,0,0
0p,P31,4,0,0
0p,P32,4,0,0
0p,P33,4,0,0
0p,P37,4,0,0
0p,P40,4,0,0
a0p,AP3,4,2,1
a0p,AP5,4,8,1
a0p,AP7,4,0,0
a0p,AP8,4,0,0
a0p,AP9,4,0,0
a0p,AP10,4,0,0
a0p,AP15,4,0,0
a0p,AP16,4,1,1
a0p,AP17,4,0,0
a0p,AP18,4,0,0
a0p,AP19,4,4,1
a0p,AP21,4,0,0
a0p,AP22,4,0,0
a0p,AP23,4,0,0
a0p,AP24,4,0,0
a0p,AP25,4,4,1
a0p,AP26,4,0,0
a0p,AP29,4,0,0
a0p,AP31,4,3,1
a0p,AP33,4,2,1
a0p,AP34,4,0,0
a0p,AP35,4,8,1
a0p,AP36,4,21,1
a0p,AP37,4,0,0
a0p,AP38,4,21,1
a0p,AP39,4,0,0
a0p,AP40,4,0,0
0p,P1,5,93,1
0p,P2,5,239,1
0p,P4,5,53,1
0p,P5,5,115,1
0p,P6,5,92,1
0p,P8,5,60,1
0p,P9,5,27,1
0p,P15,5,7,1
0p,P17,5,48,1
0p,P18,5,94,1
0p,P19,5,62,1
0p,P23,5,59,1
0p,P25,5,181,1
0p,P26,5,72,1
0p,P31,5,103,1
0p,P32,5,27,1
0p,P33,5,167,1
0p,P37,5,86,1
0p,P40,5,122,1
a0p,AP3,5,331,1
a0p,AP5,5,94,1
a0p,AP7,5,64,1
a0p,AP8,5,54,1
a0p,AP9,5,110,1
a0p,AP10,5,95,1
a0p,AP15,5,7,1
a0p,AP16,5,43,1
a0p,AP17,5,85,1
a0p,AP18,5,61,1
a0p,AP19,5,89,1
a0p,AP21,5,106,1
a0p,AP22,5,98,1
a0p,AP23,5,0,0
a0p,AP24,5,35,1
a0p,AP25,5,46,1
a0p,AP26,5,44,1
a0p,AP29,5,132,1
a0p,AP31,5,146,1
a0p,AP33,5,177,1
a0p,AP34,5,85,1
a0p,AP35,5,47,1
a0p,AP36,5,116,1
a0p,AP37,5,168,1
a0p,AP38,5,71,1
a0p,AP39,5,60,1
a0p,AP40,5,9,1
0p,P1,6,82,1
0p,P2,6,123,1
0p,P4,6,0,0
0p,P5,6,154,1
0p,P6,6,104,1
0p,P8,6,59,1
0p,P9,6,55,1
0p,P15,6,122,1
0p,P17,6,99,1
0p,P18,6,85,1
0p,P19,6,81,1
0p,P23,6,48,1
0p,P25,6,127,1
0p,P26,6,114,1
0p,P31,6,86,1
0p,P32,6,0,0
0p,P33,6,189,1
0p,P37,6,109,1
0p,P40,6,98,1
a0p,AP3,6,89,1
a0p,AP5,6,0,0
a0p,AP7,6,0,0
a0p,AP8,6,29,1
a0p,AP9,6,81,1
a0p,AP10,6,95,1
a0p,AP15,6,10,1
a0p,AP16,6,28,1
a0p,AP17,6,72,1
a0p,AP18,6,68,1
a0p,AP19,6,69,1
a0p,AP21,6,100,1
a0p,AP22,6,78,1
a0p,AP23,6,70,1
a0p,AP24,6,0,0
a0p,AP25,6,80,1
a0p,AP26,6,0,0
a0p,AP29,6,86,1
a0p,AP31,6,184,1
a0p,AP33,6,101,1
a0p,AP34,6,93,1
a0p,AP35,6,61,1
a0p,AP36,6,167,1
a0p,AP37,6,152,1
a0p,AP38,6,112,1
a0p,AP39,6,82,1
a0p,AP40,6,46,1
0p,P1,7,78,1
0p,P2,7,79,1
0p,P4,7,NA,NA
0p,P5,7,139,1
0p,P6,7,50,1
0p,P8,7,51,1
0p,P9,7,18,1
0p,P15,7,73,1
0p,P17,7,37,1
0p,P18,7,67,1
0p,P19,7,14,1
0p,P23,7,50,1
0p,P25,7,277,1
0p,P26,7,0,0
0p,P31,7,91,1
0p,P32,7,NA,NA
0p,P33,7,64,1
0p,P37,7,63,1
0p,P40,7,87,1
a0p,AP3,7,240,1
a0p,AP5,7,0,0
a0p,AP7,7,NA,NA
a0p,AP8,7,3,1
a0p,AP9,7,109,1
a0p,AP10,7,168,1
a0p,AP15,7,41,1
a0p,AP16,7,34,1
a0p,AP17,7,118,1
a0p,AP18,7,137,1
a0p,AP19,7,44,1
a0p,AP21,7,118,1
a0p,AP22,7,117,1
a0p,AP23,7,88,1
a0p,AP24,7,2,1
a0p,AP25,7,92,1
a0p,AP26,7,NA,NA
a0p,AP29,7,112,1
a0p,AP31,7,198,1
a0p,AP33,7,171,1
a0p,AP34,7,115,1
a0p,AP35,7,49,1
a0p,AP36,7,157,1
a0p,AP37,7,112,1
a0p,AP38,7,109,1
a0p,AP40,7,74,1
0p,P1,8,58,1
0p,P2,8,168,1
0p,P4,8,NA,NA
0p,P5,8,201,1
0p,P6,8,55,1
0p,P8,8,81,1
0p,P9,8,2,1
0p,P15,8,136,1
0p,P17,8,0,0
0p,P18,8,0,0
0p,P19,8,170,1
0p,P23,8,174,1
0p,P25,8,180,1
0p,P26,8,NA,NA
0p,P31,8,75,1
0p,P32,8,NA,NA
0p,P33,8,140,1
0p,P37,8,0,0
0p,P40,8,94,1
a0p,AP3,8,108,1
a0p,AP5,8,NA,NA
a0p,AP7,8,NA,NA
a0p,AP8,8,NA,NA
a0p,AP9,8,50,1
a0p,AP10,8,69,1
a0p,AP15,8,49,1
a0p,AP16,8,89,1
a0p,AP17,8,14,1
a0p,AP18,8,266,1
a0p,AP19,8,98,1
a0p,AP21,8,183,1
a0p,AP22,8,281,1
a0p,AP23,8,26,1
a0p,AP24,8,3,1
a0p,AP25,8,159,1
a0p,AP26,8,NA,NA
a0p,AP29,8,328,1
a0p,AP31,8,192,1
a0p,AP33,8,308,1
a0p,AP34,8,151,1
a0p,AP35,8,157,1
a0p,AP36,8,210,1
a0p,AP37,8,139,1
0p,P1,9,26,1
0p,P2,9,83,1
0p,P4,9,NA,NA
0p,P5,9,73,1
0p,P6,9,0,0
0p,P8,9,NA,NA
0p,P9,9,NA,NA
0p,P15,9,120,1
0p,P17,9,NA,NA
0p,P18,9,NA,NA
0p,P19,9,57,1
0p,P23,9,60,1
0p,P25,9,112,1
0p,P26,9,NA,NA
0p,P31,9,96,1
0p,P32,9,NA,NA
0p,P33,9,119,1
0p,P37,9,NA,NA
0p,P40,9,126,1
a0p,AP3,9,143,1
a0p,AP5,9,NA,NA
a0p,AP7,9,NA,NA
a0p,AP8,9,NA,NA
a0p,AP9,9,89,1
a0p,AP10,9,40,1
a0p,AP15,9,NA,NA
a0p,AP16,9,27,1
a0p,AP17,9,21,1
a0p,AP18,9,139,1
a0p,AP19,9,65,1
a0p,AP21,9,75,1
a0p,AP22,9,121,1
a0p,AP23,9,NA,NA
a0p,AP24,9,0,0
a0p,AP25,9,115,1
a0p,AP26,9,NA,NA
a0p,AP29,9,238,1
a0p,AP31,9,202,1
a0p,AP33,9,170,1
a0p,AP34,9,111,1
a0p,AP35,9,105,1
a0p,AP36,9,74,1
a0p,AP37,9,289,1
